"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"1814","코스닥","241710","코스메카코리아","화학",9640,140,102955200000
"1815","코스닥","060900","케이알피앤이","화학",928,-8,114466071680
"1816","코스닥","221610","자안","화학",17400,0,69489910200
"1817","코스닥","221980","케이디켐","화학",11250,0,45391500000
"1818","코스닥","115960","연우","화학",19300,100,239281400000
"1819","코스닥","196700","웹스","화학",1490,5,20410729240
"1820","코스닥","069110","코스온","화학",5700,-40,106573817700
"1821","코스닥","016100","리더스코스메틱","화학",3950,130,71840285300
"1822","코스닥","187790","나노","화학",1450,25,37406889750
"1823","코스닥","178920","SKC코오롱PI","화학",33150,2400,973493574300
"1824","코스닥","171120","라이온켐텍","화학",7030,-190,132821839280
"1825","코스닥","138360","에이씨티","화학",4480,0,122161688320
"1826","코스닥","112240","에스에프씨","화학",1815,0,79827028710
"1827","코스닥","101240","씨큐브","화학",7190,130,72893542960
"1828","코스닥","137950","제이씨케미칼","화학",4705,255,104494841190
"1829","코스닥","123330","제닉","화학",3560,35,2.492e+10
"1830","코스닥","089980","상아프론테크","화학",13700,50,211675754500
"1831","코스닥","104480","티케이케미칼","화학",2160,90,196334137440
"1832","코스닥","121600","나노신소재","화학",12500,300,135604162500
"1833","코스닥","120240","대정화금","화학",14000,50,99405474000
"1834","코스닥","126600","코프라","화학",3020,-80,63769214680
"1835","코스닥","115570","스타플렉스","화학",7950,-750,51307185300
"1836","코스닥","114630","우노앤컴퍼니","화학",3045,55,41332723425
"1837","코스닥","102710","이엔에프테크놀로지","화학",26550,800,377749045800
"1838","코스닥","050760","에스폴리텍","화학",4240,85,69259034720
"1839","코스닥","097870","효성오앤비","화학",6180,30,52468200000
"1840","코스닥","092070","디엔에프","화학",10400,100,111923011200
"1841","코스닥","092730","네오팜","화학",30800,450,252786718800
"1842","코스닥","091970","나노캠텍","화학",2075,120,53338142675
"1843","코스닥","083660","CSA 코스믹","화학",4170,0,154590427650
"1844","코스닥","022220","정산애강","화학",1665,0,86237974035
"1845","코스닥","079000","와토스코리아","화학",4800,45,3.456e+10
"1846","코스닥","036830","솔브레인","화학",73200,500,1273553437200
"1847","코스닥","021650","한국큐빅","화학",2585,-5,42266205355
"1848","코스닥","065940","바이오빌","화학",1635,0,71919049110
"1849","코스닥","042040","케이피엠테크","화학",735,14,73304175420
"1850","코스닥","049550","잉크테크","화학",3650,55,58472751800
"1851","코스닥","060260","뉴보텍","화학",1135,5,37947306250
"1852","코스닥","035200","프럼파스트","화학",3075,135,29921564250
"1853","코스닥","052260","SK바이오랜드","화학",23450,350,3.5175e+11
"1854","코스닥","048830","엔피케이","화학",1485,35,27805025655
"1855","코스닥","045060","오공","화학",5700,30,96569251800
"1856","코스닥","044480","경남바이오파마","화학",4725,130,63790760250
"1857","코스닥","041930","동아화성","화학",5170,120,8.1686e+10
"1858","코스닥","036670","KCI","화학",9800,460,1.10446e+11
"1859","코스닥","036640","HRS","화학",2370,-10,38760876000
"1860","코스닥","033500","동성화인텍","화학",7850,230,211821330650
"1861","코스닥","027050","코리아나","화학",4995,145,1.998e+11
"1862","코스닥","017890","한국알콜","화학",12700,500,274393152000
"1863","코스닥","014100","메디앙스","화학",4195,0,4.9501e+10
"1864","코스닥","008370","원풍","화학",3690,30,4.428e+10
"1865","코스닥","007770","한일화학","화학",9180,130,32221800000
"1866","코스닥","288330","브릿지바이오테라퓨틱스","제약",39300,200,249832379400
"1867","코스닥","256840","한국비엔씨","제약",1950,-30,94821895350
"1868","코스닥","216080","제테마","제약",27050,-550,230786731850
"1869","코스닥","234690","녹십자웰빙","제약",9080,80,161190666080
"1870","코스닥","244460","올리패스","제약",12950,250,206798562950
